COUNTRY,x
Algeria,1
Angola,2
Argentina,3
Australia,4
Austria,5
Bangladesh Pr,6
Belgium,7
Brazil,4
Canada,4
Chile,8
China P Rp,9
Colombia,10
Denmark,11
Egypt A Rp,12
Finland,11
France,7
Germany,7
Ghana,10
Hong Kong,13
Indonesia,14
Iran,15
Iraq,1
Ireland,5
Israel,5
Italy,7
Japan,7
Jordan,16
Kenya,16
Korea Rp,7
Kuwait,17
Malaysia,18
Mauritius,19
Mexico,4
Morocco,19
Mozambique,20
Myanmar,21
Nepal,22
Netherland,7
Nigeria,23
Oman,15
Pakistan Ir,12
Peru,8
Philippines,24
Poland,11
Qatar,17
Russia,4
Saudi Arab,25
Singapore,7
South Africa,4
Spain,7
Sri Lanka Dsr,6
Sudan,26
Sweden,11
Switzerland,13
Taiwan,7
Tanzania Rep,27
Thailand,7
Turkey,4
U Arab Emts,18
U K,7
U S A,9
Ukraine,28
Unspecified,29
Venezuela,2
Vietnam Soc Rep,14
